인증사회적기업 리스트('16년 6차) 2016.12.27.,,,,,,,,,,,,
,,,,,,,,,,,,
지역,인증번호,기관명,사업내용,"사회적목적
실현유형",사회서비스분야,대표자,대표전화번호,팩스,소재지,홈페이지,인증일자,인증회차
전남,제2015-101호,농업회사법인 주식회사 황토향,"농산물 제조 가공업, 농산물 도소매",일자리제공형,기타,민경철,061-375-7667,061-375-1006,전라남도 화순군 능주면 학포로 2140,,6/1/15,2015년 2차
전남,제2015-102호,영농조합법인 광수,"농산물 작물재배, 태양광발전, 농산물 판매, 농산물 수출",일자리제공형,기타,김현성,061-382-1941,061-383-8462,전라남도 담양군 무정면 영천성도길 261,http://www.gsynfarm.co.kr,6/1/15,2015년 2차
전북,제2015-103호,주식회사 향미원,"장류, 절임식품",일자리제공형,기타,한솔,063-542-1223,063-542-1224,전라북도 김제시 백구면 공술길 65(1층),www.nanumcoop.kr,6/1/15,2015년 2차
경기,제2015-104호,(사)한국신체장애인복지회 (광주복지사업단),"전기기기자동제어반(통합감시제어), 접지동봉가드레일, 유량계가로등주경완철, 계장제어장치제조, 상하수도처리장비",일자리제공형,기타,정성대,031-767-1825,031-767-1854,경기도 용인시 처인구 원삼면 백원로262번길 46,,6/1/15,2015년 2차
강원,제2015-105호,사회적협동조합그림책도시,"문화예술교육프로그램 개발, 그림책 출판",지역사회공헌형,기타,이상희,033-734-0755,033-734-0758,"강원도 원주시 서원대로 205, 17-105 (단계동, 단계아파트)",,7/27/15,2015년 3차
경기,제2015-106호,(주)행복더하기,노인복지시설 서비스업,사회서비스제공형,사회복지,유명곤,"031-949-3670, 031-945-8901",031-945-8902,"경기도 파주시 가나무로 143, 1동 205호~207호(금릉동,메트로프라자)",www.happy3040.com,7/27/15,2015년 3차
경기,제2015-107호,동광이엔지,공공의 수도점검 용역대행업,일자리제공형,기타,한희주,031-707-9638,031-707-9628,경기도 성남시 분당구 야탑로167번길  (야탑동),,7/27/15,2015년 3차
경기,제2015-108호,㈜금성환경,"일반폐기물수집, 운반업",일자리제공형,환경,최용술,031-734-4008,031-731-4881,"경기도 성남시 수정구 희망로 525 (신흥동, 2층)",,7/27/15,2015년 3차
경기,제2015-109호,주식회사 더페이퍼,"출판 및 인쇄, 광고기획, 광고대행, 공공디자인",일자리제공형,문화예술,최서영,031-225-8199,031-224-8199,경기도 수원시 팔달구 정조로 869 (신풍동),www.sai-da.net,7/27/15,2015년 3차
경기,제2015-110호,주식회사 우리네스,"시설경비업, 기계경비업",일자리제공형,청소,양혜경,031-503-1000,031-503-1000,"경기도 안산시 단원구 광덕4로 260(고잔동, win-win 프라자 303, 304호)",www.wooriness.com,7/27/15,2015년 3차
경기,제2015-111호,주식회사 쿡클레스,"출창음식 서비스업, 기타서비스업",일자리제공형,기타,손경숙,031-471-1130,031-444-8446,"경기도 안양시 만안구 안양로 571-1, 101호(석수동)",,7/27/15,2015년 3차
경기,제2015-112호,주식회사 한마음희망나눔센터,"언어교정, 장애인 교육 및 치료 서비스업",사회서비스제공형,사회복지,박명준,031-946-0069,031-946-9062,"경기도 파주시 새꽃로 27, 501(금촌동)",www.hanwelfare.net,7/27/15,2015년 3차
경기,제2015-113호,주식회사쿠키라인,"식품 제조업, 과자류 도소매업, 교육체험 서비스업",일자리제공형,기타,하경란,031-424-0424,0505-772-5775,"경기도 의왕시 월암길 41, 1,2층(월암동, 의왕선물빌딩)",,7/27/15,2015년 3차
경기,제2015-114호,㈜환경개발,"양말 제조업, 오물청소, 정화조청소, 시공 서비스업",일자리제공형,환경,김동욱,031-777-8689,031-777-8866," 경기도 성남시 중원구 둔촌대로 388 (상대원동, 크란츠테크노 913호)",,7/27/15,2015년 3차
경남,제2015-115호,아라마린서비스 주식회사,해양레저 스포츠산업,일자리제공형,관광운동,이영주,070-7303-7388,070-7397-1582,"경상남도 통영시 큰발개1길 33, 1층(도남동, 요트클럽하우스내)",,7/27/15,2015년 3차
경남,제2015-116호,위드다감 협동조합,"농산체험학습, 농산물위탁판매 ",일자리제공형,교육,문진숙,055-291-4829,055-294-4822,경상남도 창원시 의창구 대산면 진산대로 505번길 51-17,,7/27/15,2015년 3차
경남,제2015-117호,유한회사 클린앤푸드,"가사관리, 식당운영, 도시락 배달",일자리제공형,간병가사지원,정용순,055-388-6633,055-366-3760,"경상남도 양산시 양주5길 21 (중부동, 1층)",,7/27/15,2015년 3차
경북,제2015-119호,경북과학대학교 산학협력단 부설 겨레문화사업단,"문화재보존, 학술연구용역, 창의적 체험활동 프로그램운영",일자리제공형,문화재,이영진,054-979-9501,054-979-9502,경상북도 칠곡군 기산면 지산로 634,http://kmuseum.kbsc.ac.kr,7/27/15,2015년 3차
경북,제2015-120호,국민농수산영농조합법인,농수산물제조 및 가공,일자리제공형,기타,신현정,054-273-7272,054-254-1555,경상북도 포항시 남구 대송면 장동홍계길 274번길 51,www.k2b.kr,7/27/15,2015년 3차
경북,제2015-121호,꿈찾아 주식회사,"방과후학교, 문화예술교육, 공연예술기획/제작",사회서비스제공형,교육,정혜란,054-231-5464,054-231-5464,"경상북도 포항시 북구 동빈로 57(동빈 2가, 3층)",www.꿈찾아.com,7/27/15,2015년 3차
경북,제2015-122호,두리랑주식회사,자동차 부품 조립(프라스틱 제품 제조),일자리제공형,기타,김희태,054-977-8898,054-971-9610,경상북도 칠곡군 왜관읍 공단로3길 21,,7/27/15,2015년 3차
광주,제2015-123호,신일장제협동조합,장의용품 제조 및 도소매,일자리제공형,기타,강미숙,062-954-4888,062-953-4432,광주광역시 광산구 풍영정길 65-1 (신창동),,7/27/15,2015년 3차
광주,제2015-124호,㈜소프트에듀,소프트웨어 교육 및 개발,일자리제공형,기타,오준,062-226-3570,062-226-3560,"광주광역시 서구 계수로 73(쌍촌동, 2층)",www.softedu.kr,7/27/15,2015년 3차
광주,제2015-125호,㈜신나는세상,"소독 및 위생관리 용역, 청소용품 도소매",일자리제공형,청소,김동훈,062-515-7481,062-515-7482,"광주광역시 북구 설죽로196번길 26, 상가2동 2층 1호(용봉동)",,7/27/15,2015년 3차
광주,제2015-126호,㈜푸른씨티,"탈취제, 세정제, 화장지 등 제조 및 도소매, 실내건축",일자리제공형,기타,김의경,062-351-9988,062-351-9987,광주광역시 남구 중앙로 99 (서동),,7/27/15,2015년 3차
대구,제2015-127호,사단법인경북예술문화원,"예술특화교육, 컨텐츠 보급, 공연(전시), 공모사업",혼합형,교육,이내선,053-950-7933,053-950-7935,대구광역시 북구 대학로 80(산격동),www.kpartculture.org,7/27/15,2015년 3차
대전,제2015-128호,연리지장애가족사회적협동조합,"자동차세차, 자동차용품",일자리제공형,청소,최명진,042-255-0420,,"대전광역시 동구 계족로 499, 4층(용전동)",,7/27/15,2015년 3차
부산,제2015-129호,㈜누리,"철제의자, 가구, 의자,무역, 전자상거래 ",일자리제공형,기타,조현옥,070-8801-7607,051-313-7607,"부산광역시 사상구 새벽로 131 4동 231, 232, 233호 (감전동, 부산산업용재유통상가)",www.누리넷.com,7/27/15,2015년 3차
부산,제2015-130호,주식회사 이세이빙,"멀티캡,의료기기, 의료기기임대,사출품임가공,의료기기수리",일자리제공형,기타,안문상,051-612-0153,051-612-5153,"부산광역시 사하구 다대로 626 (다대동,기영비치타워1층,4층)",,7/27/15,2015년 3차
부산,제2015-131호,주식회사 청명시스템,"냉난방기 설치판매, 세척 및 유지보수",일자리제공형,기타,이정주,051-627-7005,051-627-8005,부산광역시 수영구 광안해변로 344번길 9-11 동남빌딩 2층,,7/27/15,2015년 3차
부산,제2015-132호,㈜파머스페이스,"카페사업, 네이쳐박스",일자리제공형,기타,서호정,070-4154-1042,051-626-1043,부산광역시 금정구 금강로 260 (장전동),www.fspace.co.kr,7/27/15,2015년 3차
서울,제2015-133호,(사)한국장애인문화콘텐츠협회,"인쇄 출판, 디자인, 편집",일자리제공형,기타,송제용,02-2279-6760,02-2279-6758,"서울특별시 중구 수표로10길 10, 2층(저동2가)",www.kdcca.com,7/27/15,2015년 3차
서울,제2015-134호,농업회사법인 강동도시농부 주식회사,"친환경 로컬푸드 생산 및 판매, 어린이집 급식사업",지역사회공헌형,기타,"최재일, 문홍기",02-471-4999,02-471-4998,서울특별시 강동구 동남로 85길 81 (고덕동),,7/27/15,2015년 3차
울산,제2015-135호,울산서점협동조합,"도서납품, 도서유통,도서와MARC동시납품,학교및도서관전산화작업, MARC정보구축 및DB",일자리제공형,기타,박세기,052-226-4091,052-226-4091,울산광역시 남구 번영로 191번길 27(신정동),,7/27/15,2015년 3차
인천,제2015-136호,㈜퓨전국악단 구름,"공연, 기획, 이벤트, 교육",사회서비스제공형,문화예술,김정화,032-833-3680,032-833-3681,"인천광역시 연수구 아트센터대로 175, 민원동 3층(송도동, G타워)",http://cafe.daum.net/Danso,7/27/15,2015년 3차
전북,제2015-137호,(유)맹글기,"수공예품, 문화예술콘텐츠",일자리제공형,교육,김문수,063-635-1362,063-635-1362,전라북도 남원시 양림길 58-13(어현동),,7/27/15,2015년 3차
충남,제2015-138호,아산풍성한영농조합,"농산물, 농산물가공식품",일자리제공형,기타,황윤희,041-531-0306,041-541-6879,충청남도 아산시 음봉면 충무로 681번길 208,,7/27/15,2015년 3차
충남,제2015-139호,㈜열린문디자인,"편집, 웹, 시각디자인, 기획, 인쇄",일자리제공형,기타,문정선,041-548-5106,070-8250-5105,충청남도 아산시 염치읍 은행나무길 223(충남경제진흥원318호),,7/27/15,2015년 3차
충남,제2015-140호,한국상담교육 사회적협동조합,"교육상담, 코칭, 부모교육",혼합형,교육,문남희,041-532-3343,041-532-3342,충청남도 아산시 배방읍 모산로 146 2층,www.kcespc.com,7/27/15,2015년 3차
충북,제2015-141호,주식회사 춤추는 북카페,"식품제조 및 가공품, 간이음식점 (카페, 원두 및 더치 유통)",일자리제공형,기타,"허영명,김윤모",043-260-3116,043-260-3117,"충청북도 청주시 서원구 1순환로 717 (사창동, 2층)",www.dancebc.co.kr,7/27/15,2015년 3차
제주,제주특별자치도 제2015-005호,주식회사 시와월드,"디자인, 케릭터사업상품, 개발제조유통",지역사회공헌형,문화예술,우영진,064-725-7062,064-725-7063,"제주특별자치도 제주시 중앙로14길 21(삼도이동,제주대학교창업보육센터)",,7/27/15,2015년 3차
강원,제2015-142호,노인생협경비주식회사 ,"시설경비용역,시설괸리,소독,방역,위생괸리용역,저수조청소",일자리제공형,청소,박태진,033-765-6080,033-732-6089,"강원도 원주시 평원로 43, 3층(중앙동)",http://www.coop6080.com,9/22/15,2015년 4차
강원,제2015-143호,상도문 영농조합법인,"체험학습장, 떡류,고춧가루, 곡물",지역사회공헌형,기타,오진석,010-5896-7467,033-633-5585,강원도 속초시 상도문길 54-2(도문동),http://tteok.so,9/22/15,2015년 4차
강원,제2015-144호,유한회사 나눔있는집,"스팀세차업,주차관리업,청소대행업, 시설물관리용역업, 도배업, 과일및 채소도매업",일자리제공형,청소,남순기,033-592-1179,033-592-1179,강원도 정선군 사북읍 도사곡길 21,,9/22/15,2015년 4차
강원,제2015-145호,자연누리숲학교협동조합,위탁교육(숲학교),지역사회공헌형,교육,박영옥,033-761-1205,033-761-1205,강원도 원주시 판부면 백운산길 34,,9/22/15,2015년 4차
강원,제2015-146호,㈜아쿠아 에어닥터,"에어컨및정수기 소독, 설비, 에어컨 소독업, 위생괸리용역업",일자리제공형,기타,김순자,033-766-2114,033-745-2275,"강원도 원주시 서원대로 500, 310(단구동,원주프리미엄아울렛)",www.aquaairdoctor.co.kr,9/22/15,2015년 4차
강원,제2015-147호,파로호 느릅마을 영농조합,"농산물,민박, 한식,복합영농",지역사회공헌형,기타,명재승,033-442-5517,033-442-5518,강원도 화천군 간동면 파로호로 923-15,www.goparoho.com,9/22/15,2015년 4차
경기,제2015-148호,대주환경주식회사,생활폐기물 수집 운반업,일자리제공형,환경,이은규,031-292-9893,031-292-9895,경기도 수원시 권선구 매송고색로804번길 72(고색동),,9/22/15,2015년 4차
경기,제2015-149호,사단법인 한국장애인고용창출협회 나누리가구사업단,"가구, 씽크대 제조, 실내장식, 설치용역 ",일자리제공형,기타,정재원,070-4837-6495~8,070-4032-7062,경기도 포천시 군내면 유교로 161,,9/22/15,2015년 4차
경기,제2015-150호,예송장애인가족협회 ,"장애아동 대상 재활치료, 심리검사, 가족상담, ",사회서비스제공형,사회복지,이원경,031-8005-6382,031-263-6382,"경기도 용인시 수지구 정든로 6번길 2 306(죽전동, 외 3 필지그린피아제 3층)",www.wiseforu.com,9/22/15,2015년 4차
경기,제2015-151호,유시스커뮤니케이션,"축제, 행사, 문화예술, 청소년 교육, 행사, 이벤트행사",사회서비스제공형,교육,홍성빈,031-372-0780,031-372-0781,"경기도 오산시 원동로 6, 117(원동,파크스퀘어)",http://www.youthis.co.kr,9/22/15,2015년 4차
경기,제2015-152호,장터사회적협동조합,"슈퍼, 생활용품, 농축수산물 도소매, 제빵제과",일자리제공형,기타,정성진,031-921-0693,031-921-0695,경기도 파주시 경의로 964(야당동),,9/22/15,2015년 4차
경기,제2015-153호,주식회사  희망키움터,전자기기 제조 및 도매업,일자리제공형,기타,김원규,031-559-1247,031-559-6158,경기도 남양주시 화도읍 비룡로 411번길 100,구축예정,9/22/15,2015년 4차
경기,제2015-154호,주식회사 용인도우누리,"산모, 신생아 도우미 사업, 노인장기요양서비스, 노인돌보미, 병원간병, 사회서비스바우처사업, 요양보호사교육, 장애인활동보조사업",사회서비스제공형,간병가사지원,최옥순,031-8005-8987,031-8005-8020,"경기도 용인시 기흥구 동백3로11번길 18 201(중동,로뎀빌딩)",,9/22/15,2015년 4차
경기,제2015-155호,㈜에너지팜,"재생에너지 발전설비,일반공사, 전자기기, 무역,교육컨설팅 및 교육관련 서비스, 교육 및 실험용 과학기기 제조업",기타형,기타,김대규,070-8721-0901,032-203-4012,"경기도 부천시 원미구 부천로198번길 18, 202동 705호 (춘의동, 춘의테크노파크 2차)",www.energyfarm.kr,9/22/15,2015년 4차
경남,제2015-156호,유한회사 행복한동행,"간병인 용역 서비스업, 실버용품 판매업, 위생관리 용역 및 건물시설관리",일자리제공형,간병가사지원,이동원,055-289-8269,055-289-8224,"경상남도 창원시 의창구 도계로4번길 8(도계동, 일출빌딩)",,9/22/15,2015년 4차
경남,제2015-157호,창원돌봄센터협동조합,간병 서비스업,일자리제공형,간병가사지원,정영선,055-264-2985,055-273-2984,경상남도 창원시 의창구 지귀로 116(봉곡동),,9/22/15,2015년 4차
경북,제2015-158호,(주)삼성조경,"조경시설물 제조 및 판매, 조경시설 및 식재 건설업, 목재판재 생산판매업",일자리제공형,기타,조규철,054-333-1401,054-333-1403,경상북도 영천시 화남면 한천길 131-66,www.samsung-land.co.kr,9/22/15,2015년 4차
광주,제2015-159호,유한회사 행복한동행,"공동간병가사, 기업경영 컨설팅",일자리제공형,간병가사지원,최승아,062-265-8895,062-265-8896,"광주광역시 북구 서하로 232, 4층(오치동)",,9/22/15,2015년 4차
대구,제2015-160호,사단법인 한국장애인소리예술단,문화예술 공연 및 교육,일자리제공형,문화예술,황재환,053-651-3311,053-651-3312,대구광역시 달서구 성당로 253 (두류동 2층),,9/22/15,2015년 4차
대구,제2015-161호,주식회사 웰컴즈,"통신판매, 전통규방공예, 택배업, 3자물류대행업 등",일자리제공형,기타,김재현,053-965-7730,053-965-7729,"대구광역시 중구 동덕로30길 125 (동인동4가,4층402호)",,9/22/15,2015년 4차
대구,제2015-162호,㈜아름도자기,생활도자기 가공,일자리제공형,기타,김원재,053-615-9389,053-616-5403,대구광역시 달성군 논공읍 중동길 36,,9/22/15,2015년 4차
대전,제2015-164호,농업회사법인 햇님원 주식회사,"콩나물 및 숙주 재배, 두부유통",일자리제공형,기타,최성현,042-531-4860,042-525-4860,"대전광역시 서구 가장로 52, 114호 (괴정동, 천연빌딩)",http://www.햇님원.한국,9/22/15,2015년 4차
대전,제2015-165호,사단법인 백제문화원,"문화재 관리, 문화재 교육 및 체험프로그램 운영",지역사회공헌형,문화재,서오선,042-471-7211~2,042-485-7211,"대전광역시 중구 보문로 205번길 32(대흥동, 충청남도 관사촌 7호관)",www.gajahistory.kr,9/22/15,2015년 4차
대전,제2015-166호,㈜미성씨앤씨,"건물종합관리, 소독/방역, 저수조청소, 경비 및 위생용역",일자리제공형,청소,김명희,042-638-0080,042-638-0650,대전광역시 대덕구 대전로 1064 (오정동),www.mesung.co.kr,9/22/15,2015년 4차
부산,제2015-167호,(주)뉴그린존 ,"조경식재공사. 금속조립구조재, 화훼",일자리제공형,기타,장기천,051-722-5306,051-722-9306,"부산광역시 금정구 중앙대로 2093(남산동, 8층 수광빌딩)",,9/22/15,2015년 4차
부산,제2015-168호,부산소비자생활협동조합,소비자조합 ,일자리제공형,기타,이혜숙,1688-2557,051-333-4255,"부산광역시 북구 만덕3로 40, 7호(만덕동 2층)",,9/22/15,2015년 4차
부산,제2015-169호,㈜다소니뮤직소사이어티,"이벤트업(문화 콘서트, 기획 공연, 예술교육)",일자리제공형,문화예술,조영미,051-328-9998,051-328-9998,부산광역시 사상구 모라로 90 (모라동),www.dasonimusic.or.kr,9/22/15,2015년 4차
부산,제2015-170호,한승산업주식회사,"의료용보조기구, 의료기기 외 지하수개발시공업,전기공사",일자리제공형,기타,이용국,051-728-0855,051-980-7280,"부산광역시 기장군 기장읍 청강로85번길 16, 3층",http://hanseung.net,9/22/15,2015년 4차
서울,제2015-171호,(주)네오누리콤,"판촉물, 기념품, 인쇄물, 홈페이지, 마케팅 컨설팅",일자리제공형,기타,신성호,02-394-1821,02-394-1827,"서울특별시 금천구 가산디지털1로 119(가산동,에스케이트윈테크타워 제4층 제비411호)",www.neogift.kr,9/22/15,2015년 4차
서울,제2015-172호,사단법인 다옴복지회,"인쇄출판업, 디자인, 광고기획",일자리제공형,기타,노신건,02-2266-5847,02-2278-7079,"서울특별시 중구 을지로14길 13 (을지로3가, 401호)",www.cdow.co.kr,9/22/15,2015년 4차
서울,제2015-173호,사단법인 배리어프리영화위원회,"영화, 제작, 배급, 출판, 비디오제작, 판매 ",기타형,문화예술,이은경,02-6238-3200,02-6238-3201,"서울특별시 은평구 은평로13길 10, 4층(응암동)",www.barrierfreefilms.or.kr,9/22/15,2015년 4차
서울,제2015-174호,작은영화관사회적협동조합,"작은영화관 운영, 매점 운영",기타형,문화예술,김선태,070-4820-5719,02-6008-6001,"서울특별시 금천구 가산디지털1로 119 비-507(가산동,에스케이트윈테크타워)",www.scinema.org,9/22/15,2015년 4차
서울,제2015-175호,㈜더좋은자전거,"자전거 무상점검 및 수리서비스업, 중고자전거 판매/수리교육/안전교육",일자리제공형,기타,이성희,02-6339-5949,02-6455-5949,서울특별시 마포구 월드컵로 240(성산동),www.bike-station.co.kr,9/22/15,2015년 4차
서울,제2015-176호,주식회사 그린엔젤스,"사회적기업물품, 전기공사, 위생관리용역, 신재생에너지사업",일자리제공형,환경,유지풍,02-3453-8919,02-34538920,"서울특별시 송파구 백제고분로50길 19-28(방이동,삼미빌딩201호)",www.greenangels.co.kr,9/22/15,2015년 4차
서울,제2015-177호,주식회사 나그네다문화센터 ,의류임가공하청업,일자리제공형,기타,허재만,02-905-0338,02-6368-0335,서울특별시 강북구 4.19로1길 16(수유동),www.nageune.co.kr,9/22/15,2015년 4차
서울,제2015-178호,㈜오피스타운배재문구,"문구, 전산소모품,잡화 등 도,소매업",일자리제공형,기타,배재문,02-716-0111,02-716-0110,"서울특별시 마포구 마포대로10길 12 (공덕동,트래퍼빌딩지하1층)",www.nanurim.com,9/22/15,2015년 4차
울산,제2015-179호,주식회사 인아트,"미술학원,도자기,전자상거래",사회서비스제공형,교육,이순영,052-260-3359,052-260-1052,울산광역시 남구 수암로163번길 22 (야음동),,9/22/15,2015년 4차
울산,제2015-180호,㈜엘나인,"의류,전자성거래(의류,폐션,잡화)",일자리제공형,기타,설미화,052-911-1919,052-249-9916,울산광역시 남구 와와로 20(무거동),www.lnine.co.kr,9/22/15,2015년 4차
인천,제2015-181호,주식회사 지백프로,"광고업(광고대행, 광고물작성, 기타광고), 소프트웨어자문개발공급, 전시대행, 기타교육지원사업",사회서비스제공형,교육,오상석,032-866-7788,,"인천광역시 남구 석바위로 78, 403호(주안동, 문화콘텐츠산업지원센터)",,9/22/15,2015년 4차
전남,제2015-182호,목포대어울림아카데미㈜,대학주도 교과부형 방과후교육 사업,지역사회공헌형,교육,강만철,061-450-2175,061-450-6478,전라남도 무안군 청계면 영산로 1666,,9/22/15,2015년 4차
전남,제2015-183호,사단법인 에듀펀플러스,대학주도 교과부형 방과후교육 사업,지역사회공헌형,교육,김세원,061-750-5361,061-750-5362,전라남도 순천시 중앙로 255 (석현동),www.edufunplus.com ,9/22/15,2015년 4차
전남,제2015-184호,어울림 영농조합법인,"농축산물 도매업(유정란, 토종닭)",일자리제공형,기타,유영도,061-352-9155,061-352-9155,전라남도 영광군 백수읍 길용길2길 49-10,,9/22/15,2015년 4차
전북,제2015-185호,유한회사  도우누리전주온케어,"장기요양, 돌봄서비스",사회서비스제공형,간병가사지원,"김완술,김은양",063-287-9771,063-287-9773,전라북도 전주시 완산구 현무3길 98 (서노송동),,9/22/15,2015년 4차
전북,제2015-186호,유한회사 아리울수산,"수산물가공, 수산물 도소매업",일자리제공형,기타,박금옥,063-443-3312,063-443-3301,전라북도 군산시 성산면 십자들로 103-15,,9/22/15,2015년 4차
전북,제2015-187호,협동조합온리,재활용품 제조업,기타형,환경,김명진,063-282-0028,063-282-0029,"전라북도 전주시 완산구 향교길 69 (교동, 1층)",http://www.cooponre.com/,9/22/15,2015년 4차
충남,제2015-188호,사단법인 순천향사람,방과후학교등 교육과 관련된 연구용역 사업,사회서비스제공형,교육,유연호,041-530-1567,041-530-1582,충청남도 아산시 신창면 순천향로 22(순천향대학교인문과학대학 6534호),www.schp.co.kr,9/22/15,2015년 4차
충남,제2015-189호,아산제터먹이사회적협동조합,콩나물재배업,일자리제공형,기타,장명진,041-542-1601,041-542-1604,"충청남도 아산시 음봉면 아산온천로 460-25, 1층",,9/22/15,2015년 4차
충북,제2015-190호,주식회사 움직임예술원문화마루,"문화예술창작 서비스업, 무용 교육",일자리제공형,문화예술,윤보경,043-233-8848,043-233-8852,"충청북도 청주시 흥덕구 신화로 38 402(성화동,성화동POWER프라자빌딩)",www.artstay.co.kr,9/22/15,2015년 4차
충북,제2015-191호,주식회사 유비투비,"IT관련 연구개발지원, 소프트웨어 개발, 자문, 공급업, 출판업",일자리제공형,기타,한진석,043-215-3390,043-215-3376,"충청북도 청주시 청원구 상당로 314 (내덕동, 367호(내덕동청주첨단문화산업단지))",www.ubitobe.co.kr,9/22/15,2015년 4차
충북,제2015-192호,주식회사 은광,"설비공사(보일러, 냉난방기), 인테리어 건설업, 위생관리용역, 청소용역",일자리제공형,청소,홍정수,043-742-5566,043-745-3457,"충청북도 영동군 영동읍 동정로 18-18, 1층",,9/22/15,2015년 4차
제주,제주특별자치도 제2015-006호,농업회사법인 ㈜제주공방,"특별기념품, 공예품, 어피가공품, 조경용화분용기",지역사회공헌형,문화예술,민홍식,064-713-7141,064-713-7142,제주특별자치도 제주시 애월읍 하귀로 15길 25,www.jefaco.kr  ,9/22/15,2015년 4차
제주,제주특별자치도 제2015-007호,㈜제주이어도돌봄센터,"돌봄서비스업, 의료기기, 방문요양, 방문목욕",사회서비스제공형,간병가사지원,김숙경,064-721-1297,064-721-1298,"제주특별자치도 제주시 원노형10길 32 (노형동,2층)",,9/22/15,2015년 4차
강원,제2015-193호,설악프로방스배꽃마을 농업회사법인,"탁주, 약주, 증류식소주 제조 및 도·소매",일자리제공형,기타,박호순,033-637-1199,033-637-1198,강원도 속초시 이목로 104-49(노학동),,11/20/15,2015년 5차
강원,제2015-194호,유한회사 늘푸른환경,"청소, 방역, 소독",일자리제공형,청소,이명희,033-591-4115,033-591-4116,강원도 정선군 남면 칠현로 74,,11/20/15,2015년 5차
강원,제2015-195호,유한회사 양양자활환경자원센터,"재활용 수집, 수거, 분류판매",일자리제공형,환경,임무경,033-671-2788,033-671-8788,강원도 양양군 양양읍 화일리67,,11/20/15,2015년 5차
강원,제2015-196호,㈜미래건축,"건설업, 건설업서비스",사회서비스제공형,기타,김재군,033-553-6531,033-553-1882,강원도 태백시 함태길 130(황지동),,11/20/15,2015년 5차
경기,제2015-197호,사회적협동조합 홀더맘 심리언어발달센터,"언어치료, 심리치료, 독서치료",사회서비스제공형,교육,송양빈,031-257-7553,031-257-7551,"경기도 수원시 팔달구 월드컵로 377, 201호(우만동, 남정빌딩)",,11/20/15,2015년 5차
경기,제2015-198호,주식회사 예성아름터,"인쇄물, 판촉물, 잡화, 홍보물",일자리제공형,기타,김정삼,031-591-7130,,경기도 남양주시 금곡로 65-11 (금곡동),,11/20/15,2015년 5차
경기,제2015-199호,주식회사 핸즈굿,쿠키 생산,일자리제공형,기타,배종일,070-7123-2510,031-274-5160,경기도 용인시 처인구 양지면 양지로63번길 11(1층),www.hgood.com,11/20/15,2015년 5차
경기,제2015-200호,㈜영진크린,"청소용역, 소독업, 건물관리, 경비",일자리제공형,기타,서용식,031-427-3488,,"경기도 군포시 당산로 155번길 12(금정동, 1층)",,11/20/15,2015년 5차
경기,제2015-201호,㈜처가식품,"식료품임가공, 떡, 공산품, 냉동식품",일자리제공형,기타,이하경,031-963-1636,,경기도 고양시 일산동구 공릉천로175번길 157(사리현동),,11/20/15,2015년 5차
경기,제2015-202호,㈜케어119돌봄센터,"방문요양 · 방문목욕, 노인돌봄종합서비스, 노인맞춤형정서지원",사회서비스제공형,간병가사지원,"이수영, 양경옥",031-298-6133~5,031-8059-5427,경기도 화성시 봉담읍 삼천병마로 1336 (현대빌딩301호),www.hsjw.or.kr/care119,11/20/15,2015년 5차
경남,제2015-203호,㈜해맑음,"창의적체험활동, 문화행사대행",혼합형,문화예술,안명선,055-264-9394,055-281-2816,"경상남도 창원시 의창구 신월로5번길 28(신월동, 1층)",www.ds5poy.co.kr,11/20/15,2015년 5차
경북,제2015-204호,사단법인 예술공동체삼산이수,공연제작 및 공연 유치 ,사회서비스제공형,문화예술,노하용,054-435-8279,054-435-8246,경상북도 김천시 문당길 142(삼락동),http://www.3san2su.com/,11/20/15,2015년 5차
경북,제2015-205호,사단법인 풍물마실,전통문화예술 콘텐츠 개발 및 공연사업 ,지역사회공헌형,문화예술,차재근,054-972-9779,054-972-9775,경상북도 칠곡군 왜관읍 중앙로10길 14,www.풍물마실.com,11/20/15,2015년 5차
경북,제2015-206호,재단법인 행복전통마을,고택숙박 ,지역사회공헌형,문화예술,조재환,054-823-9011,054-821-9007,경상북도 안동시 민속촌길 190,http://www.gurume-andong.com/,11/20/15,2015년 5차
경북,제2015-207호,주식회사 맛사랑,"행사용 도시락 및 전통먹거리 제조, 판매",일자리제공형,기타,이제수,054-453-7277,054-458-7271,"경상북도 구미시 문장로 12안길 2-1(도량동, 1층)",http://www.foodsarang.or.kr/foodsarang/,11/20/15,2015년 5차
경북,제2015-208호,㈜제월아트체험센터,"도예작품제작판매, 도예교육 및  체험학습 교육프로그램운영",지역사회공헌형,문화예술,서하나,070-8860-6141,,"경상북도 의성군 의성읍 의성길안로 157, 1층",,11/20/15,2015년 5차
광주,제2015-209호,주식회사 가투디자인그룹,"소프트웨어개발공급,전자상거래, 자료처리업,디자인용역",일자리제공형,기타,정재봉,062-945-3663,062-945-3667,광주광역시 광산구 사암로69번길 10 (소촌동),gatudesign@naver.com,11/20/15,2015년 5차
광주,제2015-210호,광주광역시 지체장애인 남구복지회,"재활용품수거사업등, 가구, 철거공사(토목공사), 도장방수공사, 시설물유지업, 가구 ",일자리제공형,기타,김선욱,062-675-1411,062-675-3131,"광주광역시 남구 백운로 34번길 9, 1층(백운동)",,11/20/15,2015년 5차
